"work_id","title","domain","field","subfield","topic"
"https://openalex.org/W4415091769","Burden of 375 diseases and injuries, risk-attributable burden of 88 risk factors, and healthy life expectancy in 204 countries and territories, including 660 subnational locations, 1990–2023: a systematic analysis for the Global Burden of Disease Study 2023","Health Sciences","Medicine","Oncology","COVID-19 and healthcare impacts"
"https://openalex.org/W4410636511","DESI DR2 results. II. Measurements of baryon acoustic oscillations and cosmological constraints","Physical Sciences","Physics and Astronomy","Astronomy and Astrophysics","Cosmology and Gravitation Theories"
"https://openalex.org/W4415092555","Global burden of 292 causes of death in 204 countries and territories and 660 subnational locations, 1990–2023: a systematic analysis for the Global Burden of Disease Study 2023","Social Sciences","Social Sciences","Demography","Insurance, Mortality, Demography, Risk Management"
"https://openalex.org/W4409293301","DESI 2024 III: baryon acoustic oscillations from galaxies and quasars","Physical Sciences","Physics and Astronomy","Astronomy and Astrophysics","Cosmology and Gravitation Theories"
"https://openalex.org/W4414590999","The global, regional, and national burden of cancer, 1990–2023, with forecasts to 2050: a systematic analysis for the Global Burden of Disease Study 2023","Health Sciences","Medicine","Oncology","Global Cancer Incidence and Screening"
"https://openalex.org/W4407722167","Community estimate of global glacier mass changes from 2000 to 2023","Physical Sciences","Earth and Planetary Sciences","Atmospheric Science","Cryospheric studies and observations"
"https://openalex.org/W4414860884","Extended dark energy analysis using DESI DR2 BAO measurements","Physical Sciences","Physics and Astronomy","Astronomy and Astrophysics","Cosmology and Gravitation Theories"
"https://openalex.org/W4406956629","Abundant ammonia and nitrogen-rich soluble organic matter in samples from asteroid (101955) Bennu","Physical Sciences","Physics and Astronomy","Astronomy and Astrophysics","Astro and Planetary Science"
"https://openalex.org/W4415426941","Global, regional, and national sepsis incidence and mortality, 1990–2021: a systematic analysis","Health Sciences","Medicine","Epidemiology","Sepsis Diagnosis and Treatment"
"https://openalex.org/W4406365794","Screening for Osteoporosis to Prevent Fractures","Health Sciences","Medicine","Orthopedics and Sports Medicine","Bone health and osteoporosis research"
"https://openalex.org/W4408128319","<i>JWST</i> meets <i>Chandra</i>: a large population of Compton thick, feedback-free, and intrinsically X-ray weak AGN, with a sprinkle of SNe","Physical Sciences","Physics and Astronomy","Astronomy and Astrophysics","Astrophysical Phenomena and Observations"
"https://openalex.org/W4406735362","Sex Differences in Long COVID","Health Sciences","Medicine","Neurology","Long-Term Effects of COVID-19"
"https://openalex.org/W4415739261","Tests of general relativity with GWTC-3","Physical Sciences","Physics and Astronomy","Astronomy and Astrophysics","Pulsars and Gravitational Waves Research"
"https://openalex.org/W4411582485","DESI DR2 results. I. Baryon acoustic oscillations from the Lyman alpha forest","Physical Sciences","Earth and Planetary Sciences","Oceanography","Geophysics and Gravity Measurements"
