id,title,display_name,authorships,abstract,doi,publication_date,publication_year,fwci,cited_by_count,counts_by_year,ids,type,is_oa,is_oa_anywhere,oa_status,oa_url,any_repository_has_fulltext,source_display_name,source_id,issn_l,host_organization,host_organization_name,landing_page_url,pdf_url,license,version,referenced_works,referenced_works_count,related_works,concepts,topics,keywords,is_paratext,is_retracted,language,apc,first_page,last_page,volume,issue,focal_author,csv_collaborators
https://openalex.org/W3119049610,Interventions for Loneliness Among Adult Cancer Survivors: A Systematic Review and Meta-Analysis,Interventions for Loneliness Among Adult Cancer Survivors: A Systematic Review and Meta-Analysis,,"<b>Problem identification:</b> Loneliness is common after cancer, contributing to poor outcomes. Interventions to modify loneliness are needed. This systematic review describes the current literature regarding loneliness interventions in cancer survivors.<b>Literature search:</b> Databases including: Ovid/MEDLINE; The Cochrane Central Register of Controlled Trials (CENTRAL); Elsevier/Embase; Clarivate/Web of Science (Core Collection), EBSCO/PsycINFO, EBSCO/CINAHL were used to perform a systematic review of literature using PRISMA guidelines. Second, risk of bias, meta-analysis and a narrative synthesis approach was completed to synthesize findings from multiple studies.<b>Data evaluation/synthesis:</b> Six thousand five hundred three studies were initially evaluated; eight studies met inclusion criteria. Findings indicate a paucity of interventions, generally of lower quality. Interventions were feasible and acceptable; those interventions with cultural modifications were more likely to demonstrate effectiveness.<b>Conclusions:</b> There are limited interventions addressing loneliness in cancer survivors. Development and testing of culturally-relevant programs are warranted.<b>Implications for psychosocial oncology:</b> Current studies suggest the psychosocial symptom of loneliness is modifiable among adult cancer survivors. Few interventions have been tested and shown to be effectiveness in cancer survivors in the U.S. and none have been tailored for older adult survivors, by patient gender/sex and few for specific race/ethnic groups. Results from this systematic review: a narrative synthesis and meta-analysis can inform future interventions targeting loneliness in this growing, yet vulnerable, adult cancer survivor population.",https://doi.org/10.1080/07347332.2020.1867690,2021-01-08,2021,2.26720001,30,,,review,TRUE,TRUE,bronze,https://www.tandfonline.com/doi/pdf/10.1080/07347332.2020.1867690?needAccess=true,FALSE,Journal of Psychosocial Oncology,https://openalex.org/S150756764,0734-7332,https://openalex.org/P4310320547,Taylor & Francis,https://doi.org/10.1080/07347332.2020.1867690,https://www.tandfonline.com/doi/pdf/10.1080/07347332.2020.1867690?needAccess=true,NA,publishedVersion,,51,,,,,FALSE,FALSE,en,,509,533,39,4,Terry Badger,Meghan B. Skiba
https://openalex.org/W4214914411,Optimizing a Behavioral Sleep Intervention for Gynecologic Cancer Survivors: Study Design and Protocol,Optimizing a Behavioral Sleep Intervention for Gynecologic Cancer Survivors: Study Design and Protocol,,"Sleep difficulties, particularly symptoms of insomnia and circadian disruption, are among the primary complaints of gynecologic cancer survivors before, during, and after treatment. Moreover, difficulty sleeping has been linked to poorer health-related quality of life and elevated symptom burden in this population. Although leading behavioral sleep interventions have demonstrated efficacy among cancer survivors, up to 50% of survivors are non-adherent to these treatments, likely because these interventions require labor-intensive behavior and lifestyle changes. Therefore, there is a need for more effective and acceptable approaches to diminish sleep disturbance among cancer survivors. This manuscript describes the methodology of a two-part study guided by the Multiphase Optimization Strategy (MOST) framework to identify a streamlined behavioral sleep intervention for gynecologic cancer survivors. Three candidate intervention components previously shown to decrease sleep disturbance will be evaluated, including sleep restriction, stimulus control, and systematic bright light exposure. Participants will be adult women with a history of non-metastatic gynecologic cancer who have completed primary treatment and who report current poor sleep quality. Fifteen participants will be recruited for Part 1 of the study, which will utilize qualitative methods to identify barriers to and facilitators of intervention adherence. Results will inform changes to the delivery of the candidate intervention components to promote adherence in Part 2, where 80 participants will be recruited and randomized to one of eight conditions reflecting every possible combination of the three candidate intervention components in a full factorial design. Participants will complete assessments at baseline, post-intervention, and 3-months post-intervention. Part 2 results will identify the combination of candidate intervention components that yields the most efficacious yet efficient 6-week intervention for diminishing sleep disturbance. This is the first known study to apply the MOST framework to optimize a behavioral sleep intervention and will yield a resource-efficient treatment to diminish sleep disturbance, improve health-related quality of life, and decrease symptom burden among gynecologic cancer survivors. ClinicalTrials.gov Identifier: NCT05044975.",https://doi.org/10.3389/fnins.2022.818718,2022-03-04,2022,1.72195628,7,,,article,TRUE,TRUE,gold,https://www.frontiersin.org/articles/10.3389/fnins.2022.818718/pdf,FALSE,Frontiers in Neuroscience,https://openalex.org/S115201632,1662-453X,https://openalex.org/P4310320527,Frontiers Media,https://doi.org/10.3389/fnins.2022.818718,https://www.frontiersin.org/articles/10.3389/fnins.2022.818718/pdf,cc-by,publishedVersion,,61,,,,,FALSE,FALSE,en,,818718,818718,16,NA,Terry Badger,Sairam Parthasarathy
https://openalex.org/W4224252892,Depression among underserved rural and urban caregivers of Latinas with breast cancer,Depression among underserved rural and urban caregivers of Latinas with breast cancer,,"Among Latino/as, informal caregiving duties are often deemed a family responsibility. Understanding psychological outcomes tied to caregivers of Latina breast cancer survivors is important to identify the impacts of cancer. Secondary analysis of baseline data collected in a randomized clinical trial (RCT) from 230 Latina breast cancer survivor-caregiver dyads. Characteristics of caregivers residing in rural/underserved and urban areas were compared using t- or chi-square tests. General linear models were used to analyze depressive symptoms in relation to residence, survivor-caregiver relationship, acculturation, obligation, reciprocity, and comorbidities. Urban residence was significantly associated with higher levels of depression controlling for survivor-caregiver relationship acculturation, obligation, reciprocity, and comorbidities. Mother caregivers had significantly higher levels of depression than other caregivers. Depression among Latino/a caregiver’s providing care to an adult child is an important consideration as Latino/as are less likely to seek out/have access to mental health services than other groups.",https://doi.org/10.1080/10911359.2022.2062516,2022-04-20,2022,1.4494629,3,,,article,TRUE,TRUE,bronze,https://www.tandfonline.com/doi/pdf/10.1080/10911359.2022.2062516?needAccess=true,FALSE,Journal of Human Behavior in the Social Environment,https://openalex.org/S51144326,1091-1359,https://openalex.org/P4310320547,Taylor & Francis,https://doi.org/10.1080/10911359.2022.2062516,https://www.tandfonline.com/doi/pdf/10.1080/10911359.2022.2062516?needAccess=true,NA,publishedVersion,,60,,,,,FALSE,FALSE,en,,450,464,33,3,Terry Badger,Celina I. Valencia
https://openalex.org/W4395046029,Adapting a dyadic exercise program to be culturally relevant for Hispanic men with prostate cancer using community engagement studio: a brief report,Adapting a dyadic exercise program to be culturally relevant for Hispanic men with prostate cancer using community engagement studio: a brief report,,"Background Cancer disparities exist for Hispanic men with prostate cancer and their caregivers that could be reduced through exercise. Exercising Together © is a six-month, evidence-based dyadic resistance training program that promotes teamwork between prostate cancer survivors and their spouses to improve physical, mental, and relational health outcomes. The purpose of this study was to elicit feedback and recommendations from stakeholders on the Exercising Together © intervention to inform the cultural adaptation of this program for Hispanic men with prostate cancer. Methods We conducted a virtual Community Engagement Studio (V-CES) with community expert stakeholders representing the Hispanic and cancer care communities in Southern Arizona. The V-CES process included orientation, presentation of the research, guided discussion, and evaluation. The V-CES was audio recorded, transcribed, and rapidly analyzed to identify actionable feedback and contextual adaptations. Results Nine stakeholders (6/9 male; 5/9 Hispanic) completed all V-CES activities. Through stakeholder engagement and feedback from the V-CES, adaptations to the original Exercising Together © intervention included: (1) inclusion of the cancer survivor’s identified caregiver, who may not be a spouse; (2) availability in English and Spanish; (3) shortening the intervention to 3 months; (4) remote delivery of the intervention; and (5) incorporation of low burden procedures. Conclusion Findings from our V-CES informed the adaptation of a culturally relevant dyadic progressive resistance training program for Hispanic men with prostate cancer and their caregivers.",https://doi.org/10.3389/fpsyg.2024.1294546,2024-04-23,2024,0.53774674,1,,,article,TRUE,TRUE,gold,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2024.1294546/pdf,FALSE,Frontiers in Psychology,https://openalex.org/S9692511,1664-1078,https://openalex.org/P4310320527,Frontiers Media,https://doi.org/10.3389/fpsyg.2024.1294546,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2024.1294546/pdf,cc-by,publishedVersion,,43,,,,,FALSE,FALSE,en,,1294546,1294546,15,NA,Terry Badger,Meghan B. Skiba; Floyd H. Chilton
https://openalex.org/W4407190260,Stakeholder-informed refinement of a behavioral sleep/circadian intervention for gynecologic cancer survivors: an application of the MOST preparation phase,Stakeholder-informed refinement of a behavioral sleep/circadian intervention for gynecologic cancer survivors: an application of the MOST preparation phase,,"Abstract Background Sleep disturbance is among the most frequent and distressing symptoms reported by gynecologic cancer survivors. Existing evidence-based behavioral sleep interventions are limited by implementation burden, which can decrease adherence. Purpose As part of the preparation phase of the multiphase optimization strategy (MOST), this study solicited stakeholder feedback to maximize adherence in a planned behavioral sleep/circadian intervention optimization trial. Methods Thirteen post-treatment survivors of early-stage gynecologic cancer completed the protocol for the planned optimization trial, including simultaneous receipt of all candidate intervention components. This included six weeks of combined sleep restriction, stimulus control, and systematic exposure to morning bright light. Participants then completed a semi-structured interview to provide feedback on their experience. We used a rapid analytic approach to quickly identify actionable feedback from de-identified transcripts. Results Participants generally reacted positively to the intervention components. Actionable feedback identified recommended protocol modifications and was categorized into four overarching themes: (i) remove barriers to engagement; (ii) revise for clarity; (iii) augment content; and (iv) consider individual circumstances. Conclusions Rapid qualitative analysis enabled us to effectively modify our planned study protocol on an expedited timeline. This approach is consistent with the core principles of MOST and can be incorporated into the Preparation phase to enhance optimization efforts.",https://doi.org/10.1093/tbm/ibaf001,2025-01-01,2025,6.27620984,1,,,article,FALSE,TRUE,green,https://pubmed.ncbi.nlm.nih.gov/39907220/,FALSE,Translational Behavioral Medicine,https://openalex.org/S2764609401,1613-9860,https://openalex.org/P4310311648,Oxford University Press,https://doi.org/10.1093/tbm/ibaf001,NA,NA,publishedVersion,,29,,,,,FALSE,FALSE,en,,NA,NA,15,1,Terry Badger,Sairam Parthasarathy
https://openalex.org/W4407256506,A New Holistic Theoretical Framework to Inform Opioid Use Disorder Management,A New Holistic Theoretical Framework to Inform Opioid Use Disorder Management,,"Abstract Opioid use disorders (OUDs) are a public health crisis. Individuals with OUD often have coexisting symptoms: smoking, chronic pain, and anxiety. These coexisting symptoms increase the prevalence and severity of OUD. To inform OUD management, a new holistic theoretical framework (Complexity of Opioid Use Disorder Model [COUDM]) is proposed by combining two theories: Theory of Unpleasant Symptoms and Self-Determination Theory (SDT). TOUS and SDT comprehensively represent the complexity of the OUD experience, including influencing factors, interconnected conditions, and the motivation of individuals based on psychological needs that impact overall outcomes. Individuals receiving OUD treatment informed by SDT are more engaged and experience lower occurrences of drug relapse when they are intrinsically and autonomously motivated. COUDM encompasses the multidimensional aspects of OUD. To acquire a healthier and better future for OUD patients, novel frameworks to guide new approaches are needed. COUDM is a new theoretical framework, incorporating biopsychosocial factors and symptom clusters associated with OUD to improve treatment strategies.",https://doi.org/10.1097/jan.0000000000000603,2025-01-01,2025,6.47427621,1,,,article,TRUE,TRUE,hybrid,https://doi.org/10.1097/jan.0000000000000603,FALSE,Journal of Addictions Nursing,https://openalex.org/S101300946,1088-4602,https://openalex.org/P4310315671,Lippincott Williams & Wilkins,https://doi.org/10.1097/jan.0000000000000603,NA,cc-by-nc-nd,publishedVersion,,56,,,,,FALSE,FALSE,en,,3,10,36,1,Terry Badger,Ruth E. Taylor‐Piliae
https://openalex.org/W4394840994,"Patterns of Dietary Quality, Physical Activity, and Sleep Duration among Cancer Survivors and Caregivers","Patterns of Dietary Quality, Physical Activity, and Sleep Duration among Cancer Survivors and Caregivers",,"<title>Abstract</title> Health behaviors such as fruit and vegetable intake (FVI), moderate-to-vigorous physical activity (MVPA), and sleep duration are associated with cancer-related and general health outcomes. This analysis examined to what degree FVI, MVPA, and sleep co-occur among cancer survivors and informal cancer caregivers and identified sociodemographic and clinical correlates of health behavior engagement. Using data from the Health Information National Trends Survey (HINTS), an exploratory latent profile analysis (LPA) was conducted among a nationally representative sample of those self-reporting a history of cancer or identifying as a cancer caregiver. The LPA model was fit with continuous variables for daily self-reported FVI (servings/d), MPVA (minutes/d) and sleep duration (hours/d). Multinomial logistic regression models were used to predict profile membership based on current age, education, relationship status, income, rurality, body mass index (BMI), other health behaviors, and role (survivor or caregiver). Four health behavior profiles were identified (Least Engaged–Sedentary, Least Engaged–Inactive, Moderately Engaged, and Highly Engaged). The largest profile membership was Least-Engaged Sedentary, capturing 37% of the sample. Profiles were most distinguished by MVPA with the lowest variance in sleep duration. Health behavior profile membership was significantly associated with current age, relationship status, education, income, rurality, alcohol use, self-efficacy, psychological distress, BMI, and cancer type. This study identified that, in a nationally representative sample, cancer survivors and cancer caregivers who reported more FVI also often reported greater MVPA and longer sleep duration. Health behavior profiles and sociodemographic correlates can help identify for whom health behavior interventions may be of greatest benefit.",https://doi.org/10.21203/rs.3.rs-4271736/v1,2024-04-16,2024,NA,2,,,preprint,TRUE,TRUE,green,https://www.researchsquare.com/article/rs-4271736/latest.pdf,FALSE,Research Square (Research Square),https://openalex.org/S4306402450,NA,https://openalex.org/I4210096694,Research Square (United States),https://doi.org/10.21203/rs.3.rs-4271736/v1,https://www.researchsquare.com/article/rs-4271736/latest.pdf,cc-by,acceptedVersion,,62,,,,,FALSE,FALSE,en,,NA,NA,NA,NA,Terry Badger,Meghan B. Skiba; Michael A. Grandner
https://openalex.org/W4403077743,"Patterns of dietary quality, physical activity, and sleep duration among cancer survivors and caregivers","Patterns of dietary quality, physical activity, and sleep duration among cancer survivors and caregivers",,NA,https://doi.org/10.1007/s10865-024-00523-0,2024-10-02,2024,0,0,,,article,FALSE,FALSE,closed,NA,FALSE,Journal of Behavioral Medicine,https://openalex.org/S170915847,0160-7715,https://openalex.org/P4310319900,Springer Science+Business Media,https://doi.org/10.1007/s10865-024-00523-0,NA,NA,publishedVersion,,66,,,,,FALSE,FALSE,en,,162,175,48,1,Terry Badger,Meghan B. Skiba; Michael A. Grandner
https://openalex.org/W4412521943,Tai Chi Easy for Opioid Use Disorder: Pilot Feasibility Outcomes and Lessons Learned,Tai Chi Easy for Opioid Use Disorder: Pilot Feasibility Outcomes and Lessons Learned,,"<b><i>Background:</i></b> Opioid use disorder (OUD) remains a global crisis, with chronic pain (CP), anxiety, and opioid cravings contributing to treatment discontinuation and return to opioid use. Despite the effectiveness of medications for OUD (MOUD) such as buprenorphine and methadone, they are underutilized, with nearly 50% of individuals discontinuing prematurely or returning to opioid use. Mind-body therapies (e.g., mindfulness, acupuncture, Tai Chi) have shown promise in reducing stress, drug cravings, and pain while improving well-being. However, Tai Chi has not been systematically tested for individuals with OUD and co-occurring CP and anxiety. The authors aimed to evaluate the feasibility of a virtual Tai Chi Easy (vTCE) intervention as an adjunct therapy for adults with OUD and co-occurring CP, and/or anxiety. <b><i>Methods:</i></b> A theory-driven, pre-post, single-group quasi-experimental design was used to evaluate intervention feasibility benchmarks and conduct baseline comparisons between inpatient and outpatient participants. The 8-week vTCE intervention consisted of gentle movements, breathing exercises, self-massage, and mindfulness practices, integrating these components into a holistic mind-body approach. <b><i>Results:</i></b> Of 32 screened individuals, 19 enrolled and 15 participated. Recruitment goals were partially met after expanding to outpatient settings (65% of the target). Retention was low, with only 3 participants (15.8%) completing the final assessment. Presurvey completion was high (95%), but postsurvey completion was limited (15.7%). Adherence was low, with only 20% attending more than one session. Acceptability and appropriateness averaged 3.5/5, and feasibility reached 4/5. No injuries were reported, supporting intervention safety. <b><i>Conclusion:</i></b> The vTCE intervention was not feasible in the inpatient setting. Outpatient settings showed greater feasibility, with notable differences in baseline characteristics, including self-reported opioid cravings. Lessons learned from this pilot study highlight the need to tailor recruitment, retention, and intervention strategies for future research testing vTCE as an adjunct therapy for individuals with OUD and co-occurring symptoms receiving outpatient MOUD. <b><i>Trial Registration:</i></b> ClinicalTrials.gov (Identifier: NCT05850533). Registered: 04/25/2023.",https://doi.org/10.1177/27683605251360930,2025-11-01,2025,0,0,,,article,FALSE,FALSE,closed,NA,FALSE,Journal of Integrative and Complementary Medicine,https://openalex.org/S4210171987,2768-3605,https://openalex.org/P4310320443,"Mary Ann Liebert, Inc.",https://doi.org/10.1177/27683605251360930,NA,NA,publishedVersion,,35,,,,,FALSE,FALSE,en,,979,986,31,11,Terry Badger,Ruth E. Taylor‐Piliae
https://openalex.org/W4402529758,Inspiratory muscle strength training to improve cardiometabolic health in patients with type 2 diabetes mellitus: protocol for the diabetes inspiratory training clinical trial,Inspiratory muscle strength training to improve cardiometabolic health in patients with type 2 diabetes mellitus: protocol for the diabetes inspiratory training clinical trial,,"Type 2 diabetes mellitus (T2DM) is a complex, chronic metabolic disease that carries with it a high prevalence of comorbid conditions, making T2DM one of the leading causes of death in the U.S. Traditional lifestyle interventions (e.g., diet, exercise) can counter some adverse effects of T2DM, however, participation in these activities is low with reasons ranging from physical discomfort to lack of time. Thus, there is a critical need to develop novel management strategies that effectively reduce cardiometabolic disease risk and address barriers to adherence. High-resistance inspiratory muscle strength training (IMST) is a time-efficient and simple breathing exercise that significantly reduces systolic and diastolic BP and improves vascular endothelial function in adults with above-normal blood pressure. Herein we describe the study protocol for a randomized clinical trial to determine the effects of a 6-week IMST regimen on glycemic control and insulin sensitivity in adults with T2DM. Our primary outcome measures include fasting plasma glucose, fasting serum insulin, and insulin resistance utilizing homeostatic model assessment for insulin resistance (HOMA-IR). Secondary outcome measures include resting systolic BP and endothelium-dependent dilation. Further, we will collect plasma for exploratory proteomic analyses. This trial seeks to establish the cardiometabolic effects of 6 weeks of high-resistance IMST in patients with T2DM.",https://doi.org/10.3389/fendo.2024.1383131,2024-09-13,2024,1.39037883,1,,,article,TRUE,TRUE,gold,https://public-pages-files-2025.frontiersin.org/journals/endocrinology/articles/10.3389/fendo.2024.1383131/pdf,FALSE,Frontiers in Endocrinology,https://openalex.org/S2597401208,1664-2392,https://openalex.org/P4310320527,Frontiers Media,https://doi.org/10.3389/fendo.2024.1383131,https://public-pages-files-2025.frontiersin.org/journals/endocrinology/articles/10.3389/fendo.2024.1383131/pdf,cc-by,publishedVersion,,43,,,,,FALSE,FALSE,en,,1383131,1383131,15,NA,Fiona Bailey,Dawn K. Coletta
